text,label
Vide Sasiman v. Shib Narain 491,Ratio of the decision
This will was couched in different language than the will in the present case,Ratio of the decision
"For the reasons aforesaid,we hold that the State Government was not justified,in the facts of this case,to invoke the emergency provision of S.17(4) of the Act",Ruling by Present Court
In support of his contention,Argument
"per annum from the 19th July, 1945, till payment or till the said sum was deposited in court to the credit of the suit",Ruling by Lower Court
The judgment and order dated 23 February 2005 of the High Court and the judgment and order dated 04 January 1993 of the learned Sessions Judge convicting the appellants under Section 304-B IPC are set aside and the appellants are acquitted of the said charge,Ruling by Present Court
"The last decision referred to was the decision of the Privy Council in Mahomed Shumsool v. Shewukram 1874 Indlaw PC 12 (1874-75) 2 I.A. 7 There a Hindu inhabitant of Bihar by a document of a testamentary character declared his daughter who had two daughters, as his heir, and after her two daughters together with their children were declared heirs and malik",Precedent
"It was not contested before us that a Hindu can by will create a life estate, or successive life estates, or any other estate for a limited term, provided the donee or the persons taking under it are capable of taking under a deed or will",Ratio of the decision
S.211 of the Code relates to the contents of the charge,Statute
"19,000",Facts
She was given a present right of future enjoyment in the property,Ratio of the decision
"We do not propose to give our reasons to the extent we are in agreement with Pathak,J.and we propose to state our reasons for the disagreement only",Ruling by Present Court
"This legal position does not, according to him, offend the guarantee against testimonial compulsion and he points out that that is the reason why an accused person is not to be administered an oath when the court examines him under s. 342 (1) for enabling him to explain the circumstances appearing in evidence against him",Argument
"Haricharan Dutt conveyed Ms one third share in the premises to them on the 4th March,1944, and Durga Charan Dutt conveyed his one-third share to them on the 3rd May, 1946",Facts
The appeal is concerned only with the premises,Ratio of the decision
"There the testator made a will in favour of his wife providing, inter alia",Precedent
"While we are disposed to agree with learned counsel that the questions embrace a number of matters and that it would have been better if those matters had been made the subjects of separate questions, the answers given by the respondents clearly show that they understood the questions and wherever possible they have given complete answers to those questions",Argument
"If she took the estate only of a Hindu widow, one consequence, no doubt, would be that she would be unable to alienate the profits, or that at all events, whatever she purchased out of them would be an increment to her husband's estate, and the plaintiffs would be entitled to recover possession of all such property, real and personal",Precedent
c) of s. 239,Statute
Of course a Court has the power to depart from the grammatical construction if it finds that strict adherence to the grammatical construction will defeat the object the Legislature had in view,Statute
Though the daughter was not entitled to immediate possession of the property it was indicated with certainty that she should get the entire estate at the proper time,Ratio of the decision
"In other words, that she should take an estate very much like the ordinary estate of a Hindu widow",Precedent
